¼ø¼­,Precursor,Co-reactant,Precursor_Pulse Time (s),Co-reactant_Pulse Time (s),Cycles (n),Temperature (¡ÆC),Pressure (torr),Purge Gas,Purge Time (s),Purge Gas Flow Rate (cm3/min),Precursor Flow Rate,Co-reactant Flow Rate,Thickness (nm),"Surface Roughness (RMS, nm)",Uniformity (%),"Step Coverage (sc, %)",Density (g?cm?3),GPC (A¢ª?cycle?1),,Aspect Ratio (AR),Leakage Current Density (A?cm?2),Dielectric Constant (¥å),Breakdown Field (MV?cm?1),Paper Title
1,TMA,H©üO,0.1,0.1,500,300,0.3,N2,5,200,,,50,,¡¾2.00,90%,3,1.1,,100,,,,Saturation profile based conformality analysis for atomic layer deposition: Aluminum oxide in lateral high-aspect-ratio channels
1,TMA,H©üO,0.1,0.1,500,300,0.3,N2,5,200,,,50,,¡¾2.00,60,3,1.1,,200,,,,Saturation profile based conformality analysis for atomic layer deposition: Aluminum oxide in lateral high-aspect-ratio channels
2,SiH©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,80,2.2,1,,5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TiCl©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,75,3.7,0.5,,10.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TMA,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,85,3,1.1,,16,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TEMAH,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,70,9.6,1,,21.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,SiH©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,80,2.2,1,,27,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TiCl©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,75,3.7,0.5,,32.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TMA,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,85,3,1.1,,38,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TEMAH,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,70,9.6,1,,43.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
