title,authors,abstract,published_date,pdf_link
Learning Generalizable Shape Completion with SIM(3) Equivariance,"Yuqing Wang, Zhaiyu Chen, Xiao Xiang Zhu","3D shape completion methods typically assume scans are pre-aligned to a canonical frame. This leaks pose and scale cues that networks may exploit to memorize absolute positions rather than inferring intrinsic geometry. When such alignment is absent in real data, performance collapses. We argue that robust generalization demands architectural equivariance to the similarity group, SIM(3), so the model remains agnostic to pose and scale. Following this principle, we introduce the first SIM(3)-equivariant shape completion network, whose modular layers successively canonicalize features, reason over similarity-invariant geometry, and restore the original frame. Under a de-biased evaluation protocol that removes the hidden cues, our model outperforms both equivariant and augmentation baselines on the PCN benchmark. It also sets new cross-domain records on real driving and indoor scans, lowering minimal matching distance on KITTI by 17% and Chamfer distance $\ell1$ on OmniObject3D by 14%. Perhaps surprisingly, ours under the stricter protocol still outperforms competitors under their biased settings. These results establish full SIM(3) equivariance as an effective route to truly generalizable shape completion. Project page: https://sime-completion.github.io.",2025-09-30,http://arxiv.org/pdf/2509.26631v1
Hy-Facial: Hybrid Feature Extraction by Dimensionality Reduction Methods for Enhanced Facial Expression Classification,"Xinjin Li, Yu Ma, Kaisen Ye, Jinghan Cao, Minghao Zhou, Yeyang Zhou","Facial expression classification remains a challenging task due to the high dimensionality and inherent complexity of facial image data. This paper presents Hy-Facial, a hybrid feature extraction framework that integrates both deep learning and traditional image processing techniques, complemented by a systematic investigation of dimensionality reduction strategies. The proposed method fuses deep features extracted from the Visual Geometry Group 19-layer network (VGG19) with handcrafted local descriptors and the scale-invariant feature transform (SIFT) and Oriented FAST and Rotated BRIEF (ORB) algorithms, to obtain rich and diverse image representations. To mitigate feature redundancy and reduce computational complexity, we conduct a comprehensive evaluation of dimensionality reduction techniques and feature extraction. Among these, UMAP is identified as the most effective, preserving both local and global structures of the high-dimensional feature space. The Hy-Facial pipeline integrated VGG19, SIFT, and ORB for feature extraction, followed by K-means clustering and UMAP for dimensionality reduction, resulting in a classification accuracy of 83. 3\% in the facial expression recognition (FER) dataset. These findings underscore the pivotal role of dimensionality reduction not only as a pre-processing step but as an essential component in improving feature quality and overall classification performance.",2025-09-30,http://arxiv.org/pdf/2509.26614v1
Molecular dynamics insights into the Debye process of 1-propanol,"Marceau Hénot, Jan Philipp Gabriel","The dielectric response of mono-alcohols exhibits a strong Debye peak generally attributed to the dynamics of hydrogen-bonds (HB) supramolecular structures through a mechanism that remains unclear in many aspects. In this letter, we use standard all-atom molecular dynamics simulations to investigate this phenomenon in 1-propanol, a prototypic monoalcohol, over a wide temperature range covering a significant change in dielectric permittivity. We obtained dielectric spectra showing a Debye peak in good agreement with experimental data, which we decomposed into the self and cross parts of the dipolar correlations. The latter extends over a few molecular distances and contributes increasingly to the Debye peak upon cooling. To investigate its physical origin, we analyzed the HB structures by identifying clusters from simulation snapshots. Below 300~K, the dielectric permittivity was shown to arise almost entirely from intra-cluster cross-correlations. Furthermore, by tracking the dipole decorrelation of groups of molecules initially belonging to the same cluster, we found that supramolecular structures play a key role in stabilizing cross-correlation over time scales longer than the relaxation of individual molecules.",2025-09-30,http://arxiv.org/pdf/2509.26588v1
Probing the Critical Point (CritPt) of AI Reasoning: a Frontier Physics Research Benchmark,"Minhui Zhu, Minyang Tian, Xiaocheng Yang, Tianci Zhou, Penghao Zhu, Eli Chertkov, Shengyan Liu, Yufeng Du, Lifan Yuan, Ziming Ji, Indranil Das, Junyi Cao, Yufeng Du, Jinchen He, Yifan Su, Jiabin Yu, Yikun Jiang, Yujie Zhang, Chang Liu, Ze-Min Huang, Weizhen Jia, Xinan Chen, Peixue Wu, Yunkai Wang, Juntai Zhou, Yong Zhao, Farshid Jafarpour, Jessie Shelton, Aaron Young, John Bartolotta, Wenchao Xu, Yue Sun, Anjun Chu, Victor Colussi, Chris Akers, Nathan Brooks, Wenbo Fu, Christopher Wilson, Jinchao Zhao, Marvin Qi, Anqi Mu, Yubo Yang, Allen Zang, Yang Lyu, Peizhi Mai, Xuefei Guo, Luyu Gao, Ze Yang, Chi Xue, Dmytro Bandak, Yaïr Hein, Yonatan Kahn, Kevin Zhou, John Drew Wilson Jarrod T. Reilly, Di Luo, Daniel Inafuku, Hao Tong, Liang Yang, Ruixing Zhang, Xueying Wang, Ofir Press, Nicolas Chia, Eliu Huerta, Hao Peng","While large language models (LLMs) with reasoning capabilities are progressing rapidly on high-school math competitions and coding, can they reason effectively through complex, open-ended challenges found in frontier physics research? And crucially, what kinds of reasoning tasks do physicists want LLMs to assist with? To address these questions, we present the CritPt (Complex Research using Integrated Thinking - Physics Test, pronounced ""critical point""), the first benchmark designed to test LLMs on unpublished, research-level reasoning tasks that broadly covers modern physics research areas, including condensed matter, quantum physics, atomic, molecular & optical physics, astrophysics, high energy physics, mathematical physics, statistical physics, nuclear physics, nonlinear dynamics, fluid dynamics and biophysics. CritPt consists of 71 composite research challenges designed to simulate full-scale research projects at the entry level, which are also decomposed to 190 simpler checkpoint tasks for more fine-grained insights. All problems are newly created by 50+ active physics researchers based on their own research. Every problem is hand-curated to admit a guess-resistant and machine-verifiable answer and is evaluated by an automated grading pipeline heavily customized for advanced physics-specific output formats. We find that while current state-of-the-art LLMs show early promise on isolated checkpoints, they remain far from being able to reliably solve full research-scale challenges: the best average accuracy among base models is only 4.0% , achieved by GPT-5 (high), moderately rising to around 10% when equipped with coding tools. Through the realistic yet standardized evaluation offered by CritPt, we highlight a large disconnect between current model capabilities and realistic physics research demands, offering a foundation to guide the development of scientifically grounded AI tools.",2025-09-30,http://arxiv.org/pdf/2509.26574v1
Secure ISAC with Fluid Antenna Systems: Joint Precoding and Port Selection,"Abdelhamid Salem, Hao Xu, Kai-Kit Wong, Chan-Byoung Chae, Yangyang Zhang","This paper presents a novel framework for enhancing physical-layer security in integrated sensing and communication (ISAC) systems by leveraging the reconfigurability of fluid antenna systems (FAS). We propose a joint precoding and port selection (JPPS) strategy that maximizes the sum secrecy rate while simultaneously ensuring reliable radar sensing. The problem is formulated using fractional programming (FP) and solved through an iterative algorithm that integrates FP transformations with successive convex approximation (SCA). To reduce computational complexity, we further develop low-complexity schemes based on zero-forcing (ZF) precoding, combined with greedy port selection and trace-inverse minimization. Simulation results demonstrate substantial improvements in both secrecy performance and sensing accuracy compared to conventional baselines, across a wide range of FAS ports, user loads, and sensing targets. These findings highlight the critical importance of FAS geometry optimization in enabling secure and efficient joint communication-sensing for next-generation wireless networks.",2025-09-30,http://arxiv.org/pdf/2509.26572v1
Electrical Readout of Spin Environments in Diamond for Quantum Sensing,"Olga Rubinas, Michael Petrov, Emilie Bourgeois, Jaroslav Hruby, Akhil Kuriakose, Ottavia Jedrkiewicz, Milos Nesladek","Nitrogen-vacancy (NV) centres in diamond are a key platform for quantum sensing and quantum information, combining long coherence times with controllable spin-spin interactions. Most of current quantum algorithms rely on optical access, which limit device integration and applicability in opaque or miniaturized settings. Here we demonstrate an all-electrical approach, photocurrent double electron-electron resonance (PC-DEER), permitting exploiting local dipolar interactions between individual NV spin qubits or ensembles and nearby paramagnetic defects with sub-confocal resolution. PC-DEER extends photocurrent NV readout from single-spin to spin-bath control and coherent manipulation, enabling characterization of bath-induced noise and effective deployment of noise-reduction protocols. We resolve the signatures of substitutional nitrogen (P1) and NVH centers with reproducible contrast by using electrical signals. Our results establish a scalable, optical-free spin readout strategy that bridges fundamental studies of spin environments with deployable quantum technologies, advancing the integration of diamond-based sensors into solid-state quantum devices.",2025-09-30,http://arxiv.org/pdf/2509.26570v1
DeepProv: Behavioral Characterization and Repair of Neural Networks via Inference Provenance Graph Analysis,"Firas Ben Hmida, Abderrahmen Amich, Ata Kaboudi, Birhanu Eshete","Deep neural networks (DNNs) are increasingly being deployed in high-stakes applications, from self-driving cars to biometric authentication. However, their unpredictable and unreliable behaviors in real-world settings require new approaches to characterize and ensure their reliability.   This paper introduces DeepProv, a novel and customizable system designed to capture and characterize the runtime behavior of DNNs during inference by using their underlying graph structure. Inspired by system audit provenance graphs, DeepProv models the computational information flow of a DNN's inference process through Inference Provenance Graphs (IPGs). These graphs provide a detailed structural representation of the behavior of DNN, allowing both empirical and structural analysis. DeepProv uses these insights to systematically repair DNNs for specific objectives, such as improving robustness, privacy, or fairness.   We instantiate DeepProv with adversarial robustness as the goal of model repair and conduct extensive case studies to evaluate its effectiveness. Our results demonstrate its effectiveness and scalability across diverse classification tasks, attack scenarios, and model complexities. DeepProv automatically identifies repair actions at the node and edge-level within IPGs, significantly enhancing the robustness of the model. In particular, applying DeepProv repair strategies to just a single layer of a DNN yields an average 55% improvement in adversarial accuracy. Moreover, DeepProv complements existing defenses, achieving substantial gains in adversarial robustness. Beyond robustness, we demonstrate the broader potential of DeepProv as an adaptable system to characterize DNN behavior in other critical areas, such as privacy auditing and fairness analysis.",2025-09-30,http://arxiv.org/pdf/2509.26562v1
HilbertA: Hilbert Attention for Image Generation with Diffusion Models,"Shaoyi Zheng, Wenbo Lu, Yuxuan Xia, Haomin Liu, Shengjie Wang","Designing sparse attention for diffusion transformers requires reconciling two-dimensional spatial locality with GPU efficiency, a trade-off that current methods struggle to achieve. Existing approaches enforce two-dimensional spatial locality but often incur uncoalesced memory access. We present HilbertA, a 2D-aware and GPU-efficient sparse attention mechanism. HilbertA reorders image tokens along Hilbert curves to achieve a contiguous memory layout while preserving spatial neighborhoods, and employs a sliding schedule across layers to enable long-range information propagation without repeated or uncoalesced memory access. To further enhance cross-tile communication and positional awareness, HilbertA introduces a small central shared region. Implemented in Triton, HilbertA delivers comparable image quality with significant acceleration over prior methods on Flux.1-dev, demonstrating the feasibility of hardware-aligned two-dimensional sparse attention for high-resolution image generation. HilbertA delivers attention speedups of $2.3\times$ when generating $1024\times 1024$ images, and up to $4.17\times$ at $2048\times 2048$, while achieving image quality comparable to or surpassing baselines.",2025-09-30,http://arxiv.org/pdf/2509.26538v1
Optimal Matching Strategies in Two-sided Markets: A Mean Field Approach,"Erhan Bayraktar, Dantong Chu, Bohan Li, Ho Man Tai","This paper develops a mean field game framework for dynamic two-sided matching markets, extending existing matching theory by integrating micro-macro dynamics in two-sided environments. Unlike traditional matching models focusing on static equilibrium or unilateral optimization, our framework simultaneously captures dynamic interactions and strategic behaviors of both market sides, as well as the equilibrium. We model two types of agents who meet each other via Poisson processes and make simultaneous matching decisions to maximize their respective objective functionals, and find the corresponding equilibrium. Our approach formulates the equilibrium as a fully coupled Hamilton-Jacobi-Bellman and Fokker-Planck system with nonlocal structure coupling two distinct populations. The mathematical analysis addresses significant challenges from the dual-layered coupling structure and nonlocal structure. We also provide insights into individual behaviors shaping aggregate patterns in labor markets through numerical experiments.",2025-09-30,http://arxiv.org/pdf/2509.26531v1
Explainable and Resilient ML-Based Physical-Layer Attack Detectors,"Aleksandra Knapińska, Marija Furdek","Detection of emerging attacks on network infrastructure is a critical aspect of security management. To meet the growing scale and complexity of modern threats, machine learning (ML) techniques offer valuable tools for automating the detection of malicious activities. However, as these techniques become more complex, their internal operations grow increasingly opaque. In this context, we address the need for explainable physical-layer attack detection methods. First, we analyze the inner workings of various classifiers trained to alert about physical layer intrusions, examining how the influence of different monitored parameters varies depending on the type of attack being detected. This analysis not only improves the interpretability of the models but also suggests ways to enhance their design for increased speed. In the second part, we evaluate the detectors' resilience to malicious parameter noising. The results highlight a key trade-off between model speed and resilience. This work serves as a design guideline for developing fast and robust detectors trained on available network monitoring data.",2025-09-30,http://arxiv.org/pdf/2509.26530v1
Training Matryoshka Mixture-of-Experts for Elastic Inference-Time Expert Utilization,"Yaoxiang Wang, Qingguo Hu, Yucheng Ding, Ruizhe Wang, Yeyun Gong, Jian Jiao, Yelong Shen, Peng Cheng, Jinsong Su","Mixture-of-Experts (MoE) has emerged as a promising paradigm for efficiently scaling large language models without a proportional increase in computational cost. However, the standard training strategy of Top-K router prevents MoE models from realizing their full potential for elastic inference. When the number of activated experts is altered at inference time, these models exhibit precipitous performance degradation. In this work, we introduce Matryoshka MoE (M-MoE), a training framework that instills a coarse-to-fine structure directly into the expert ensemble. By systematically varying the number of activated experts during training, M-MoE compels the model to learn a meaningful ranking: top-ranked experts collaborate to provide essential, coarse-grained capabilities, while subsequent experts add progressively finer-grained detail. We explore this principle at multiple granularities, identifying a layer-wise randomization strategy as the most effective. Our experiments demonstrate that a single M-MoE model achieves remarkable elasticity, with its performance at various expert counts closely matching that of an entire suite of specialist models, but at only a fraction of the total training cost. This flexibility not only unlocks elastic inference but also enables optimizing performance by allocating different computational budgets to different model layers. Our work paves the way for more practical and adaptable deployments of large-scale MoE models.",2025-09-30,http://arxiv.org/pdf/2509.26520v1
Diversity of Cold Worlds: Predicted Near- to Mid-infrared Spectral Signatures of a Cold Brown Dwarf with Potential Auroral Heating,"Genaro Suárez, Jacqueline K. Faherty, Ben Burningham, Caroline V. Morley, Johanna M. Vos, Brianna Lacy, Melanie J. Rowland, Adam C. Schneider, Sherelyn Alejandro Merchan, Daniella C. Bardalez Gagliuffi, Thomas P. Bickle, Eileen C. Gonzales, Rocio Kiman, Austin Rothermich, Niall Whiteford","Recent JWST/NIRSpec observations have revealed strong methane emission at 3.326 microns in the $\approx$482 K brown dwarf CWISEP J193518.59$-$154620.3 (W1935). Atmospheric modeling suggests the presence of a $\approx$300 K thermal inversion in its upper atmosphere, potentially driven by auroral activity. We present an extension of the retrieved spectra of W1935 with and without inversion spanning 1--20 microns, to identify thermal inversion-sensitive spectral features and explore the origin of the object's peculiar characteristics. Our analysis indicates that atmospheric heating contributes approximately 15% to the bolometric luminosity. The model with inversion predicts an additional similar-strength methane emission feature at 7.7 microns and tentative ammonia emission features in the mid-infrared. Wavelengths beyond $\sim$2 microns are significantly influenced by the inversion, except for the 4.1--5.0 microns CO$_2$ and CO features that originate from atmospheric layers deeper than the region where the inversion occurs. W1935 appears as an outlier in Spitzer/IRAC mid-infrared color-magnitude diagrams (CMDs) based on the $m_{\rm Ch1}-m_{\rm Ch2}$ (IRAC 3.6 microns $-$ 4.5 microns) color, but exhibits average behavior in all other combinations that trace clear sequences. This anomaly is likely due to the Ch2 filter probing vertical mixing-sensitive CO$_2$ and CO features that do not correlate with temperature or spectral type. We find that the thermal inversion tends to produce bluer $m_{\rm Ch1}-m_{\rm Ch2}$ colors, so the overluminous and/or redder position of W1935 in diagrams involving this color cannot be explained by the thermal inversion. This analysis provides insights into the intriguing dispersion of cold brown dwarfs in mid-infrared CMDs and sheds light on their spectral diversity.",2025-09-30,http://arxiv.org/pdf/2509.26505v1
