title,material,temperature_C,pressure,pulse_time,cycles,aspect_ratio
2.34 kV \b{eta}-Ga2O3 Vertical Trench RESURF Schottky Barrier Diode with sub-micron fin width,"TiN, Al2O3",2500.0,,25 S,,
Stray light in 3D porous nanostructures of single crystalline copper film,"TiN, Al2O3",1.0,3 Pa,,,
Low Loss Aluminum Nitride Waveguide Fabrication: Propagation Loss Reduction Through ALD and RTA,"TiN, Al2O3",180.0,400 mTorr,120 s,10.0,
Federative ischemic stroke segmentation as alternative to overcome domain-shift multi-institution challenges,TiN,3.0,,0 s,,
Evidence for single variant in altermagnetic RuO2(101) thin films,"TiN, Al2O3",1.0,7 Pa,5 s,,
Dielectric Substrate Dependence of Thermoelectric Transport in BLG-GaAs-BLG Heterostructures,"TiN, HfO2, Al2O3",,,3 s,,
Bayesian Smoothed Quantile Regression,TiN,53.0,,4.23 s,,
Ultra-clean interface between high k dielectric and 2D MoS2,"TiN, HfO2, Al2O3",1.0,,1 s,,
Fully atomic layer deposited transparent carrier selective contacts for bifacial Cd-free Cu2ZnSnSe4 thin-film solar cells,TiN,58.0,,50 s,115.0,
Tailoring the Electronic Properties of Monoclinic (InxAl1-x)2O3 Alloys via Substitutional Donors and Acceptors,"TiN, Al2O3",600.0,,,,
Development of an Atomic Layer Deposition System for Deposition of Alumina as a Hydrogen Permeation Barrier,"TiN, Al2O3",6.0,1 Torr,20 ms,100.0,
"Atomic layer deposition on particulate materials from 1988 through 2023: A quantitative review of technologies, materials and applications","TiN, Al2O3",3.0,105 Pa,1960 s,500.0,
Improving the lifetime of aluminum-based superconducting qubits through atomic layer etching and deposition,"TiN, Al2O3",3.0,7 Torr,1 s,50.0,
Enhancing gate control and mitigating short channel effects in 20-50 nm channel length single-gate amorphous oxide Thin Film Transistors,"TiN, Al2O3",2.0,5 mTorr,60 s,11.0,
InGaN Nanopixel Arrays on Single Crystal GaN Substrate,"TiN, Al2O3",1.0,,1010 s,,
Lattice Mismatch Driven In Plane Strain Engineering for Enhanced Upper Critical Fields in Mo2N Superconducting Thin Films,"TiN, Al2O3",,9 Torr,19 s,,
Manipulating the hydrogen-induced insulator-metal transition through artificial microstructure engineering,"TiN, Al2O3",1.0,1.5 Pa,1 s,,
Variational Resolution of the Abraham-Lorentz-Dirac Equation Pathologies,TiN,3.0,,,,
MINER Reactor Based Search for Axion-Like Particles Using Sapphire (Al2O3) Detectors,"TiN, Al2O3",,,5 S,,
Indirect Tunneling Enabled Spontaneous Time-Reversal Symmetry Breaking and Josephson Diode Effect in TiN/Al$_2$O$_3$/Hf$_{0.8}$Zr$_{0.2}$O$_2$/Nb tunnel junctions,"TiN, HfO2, Al2O3",250.0,,0 s,,
Catalight -- an open source automated photocatalytic reactor package illustrated through plasmonic acetylene hydrogenation,"TiN, Al2O3",3.0,,,,
Design and simulation of GaSe hybrid photonic waveguides on a \b{eta}-Ga2O3 platform,"TiN, Al2O3",500.0,,,,
Optimal Sizing and Material Choice for Additively Manufactured Compact Plate Heat Exchangers,"TiN, Al2O3",,6 Pa,,,
Simulation of Atomic Layer Deposition with a Quantum Computer,TiN,3.0,,27 S,,
Graphically Speaking: Unmasking Abuse in Social Media with Conversation Insights,TiN,,,200 ms,,
Energy Bands and Breakdown Characteristics in Al2O3/UWBG AlGaN Heterostructures,"TiN, Al2O3",950.0,,4 S,,
Nitrogen-Vacancy Engineering for Controlled Phase Transitions in CrN(111) Epitaxial Films,"TiN, Al2O3",700.0,1.0 Pa,1 s,,
Orientation-Dependent \b{eta}-Ga2O3 Heterojunction Diode with Atomic Layer Deposition (ALD) Grown NiO,TiN,200.0,10 Torr,7 S,150.0,
Are There High-Density Deep States in AtomicLayer-Deposited IGZO Thin Film?,"TiN, HfO2, Al2O3",1.0,,50 s,1011.0,
Intrinsic higher-order topological states in 2D honeycomb Z_2 quantum spin Hall insulators,"TiN, Al2O3",1.0,,6 s,,
Engineered substrates for domain control in CrSe thin-film growth: Single-domain formation on lattice-matched YSZ(111) substrate,"TiN, Al2O3",18.0,6 Torr,16. S,,
Localisation of hexagonal boron nitride colour centres using patterned dielectric layers on graphene,"TiN, Al2O3",200.0,,3 S,500.0,
Scalable manufacturing of polarization-insensitive metalenses with high-uniform focal arrays in the visible,TiN,1.0,,,,
Unveiling the Interfacial Reconstruction Mechanism Enabling Stable Growth of the Delafossite PdCoO2 on Al2O3 and LaAlO3,"TiN, Al2O3",925.0,6 Torr,063406 s,,
