title,temperature_C,pressure,thickness
Learning Generalizable Shape Completion with SIM(3) Equivariance,15.0,,
Hy-Facial: Hybrid Feature Extraction by Dimensionality Reduction Methods for Enhanced Facial Expression Classification,4.0,,
Molecular dynamics insights into the Debye process of 1-propanol,1.0,,
Electrical Readout of Spin Environments in Diamond for Quantum Sensing,1.0,,100 nm
Stable Cinemetrics : Structured Taxonomy and Evaluation for Professional Video Generation,2.0,,
Automated and Scalable SEM Image Analysis of Perovskite Solar Cell Materials via a Deep Segmentation Framework,2.0,,200 nm
Stability Analysis of Thermohaline Convection With a Time-Varying Shear Flow Using the Lyapunov Method,1.0,,
HilbertA: Hilbert Attention for Image Generation with Diffusion Models,15.0,,
Optimal Matching Strategies in Two-sided Markets: A Mean Field Approach,63.0,,
Diversity of Cold Worlds: Predicted Near- to Mid-infrared Spectral Signatures of a Cold Brown Dwarf with Potential Auroral Heating,5.0,,2 Å
Topology-Optimized Dielectric Cavities for Enhanced Excitonic Light Emission from $\rm WSe_{2}$,1.0,200 pA,40 nm
Tests of Evolving Dark Energy with Geometric Probes of the Late Late-Time Universe,1.0,,
