title,link
A brief review of atomic layer deposition: from fundamentals to applications,https://www.sciencedirect.com/science/article/pii/S1369702114001436
Atomic layer deposition: an overview,https://pubs.acs.org/doi/full/10.1021/cr900056b
Atomic layer deposition chemistry: recent developments and future challenges,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.200301652
Atomic layer deposition,https://www.sciencedirect.com/science/article/pii/B9780125129084500059
Atomic layer deposition,https://www.sciencedirect.com/science/article/pii/B9780444633040000275
"New development of atomic layer deposition: processes, methods and applications",https://www.tandfonline.com/doi/abs/10.1080/14686996.2019.1599694
Atomic layer deposition of transition metals,https://www.nature.com/articles/nmat1000
The use of atomic layer deposition in advanced nanopatterning,https://pubs.rsc.org/en/content/articlehtml/2014/nr/c4nr01954g
Conformality in atomic layer deposition: Current status overview of analysis and modelling,https://pubs.aip.org/aip/apr/article/6/2/021302/570185
Atomic layer deposition (ALD): from precursors to thin film structures,https://www.sciencedirect.com/science/article/pii/S0040609002001177
Surface chemistry of atomic layer deposition: A case study for the trimethylaluminum/water process,https://pubs.aip.org/aip/jap/article/97/12/121301/893976
Atomic layer etching: What can we learn from atomic layer deposition?,https://iopscience.iop.org/article/10.1149/2.0051506jss/meta
Advances in atomic layer deposition,https://link.springer.com/article/10.1007/s41871-022-00136-8
Catalyst design with atomic layer deposition,https://pubs.acs.org/doi/abs/10.1021/cs501862h
Atomic layer deposition on 2D materials,https://pubs.acs.org/doi/abs/10.1021/acs.chemmater.6b05103
Particle atomic layer deposition,https://link.springer.com/article/10.1007/s11051-018-4442-9
Atomic layer deposition of nanostructured materials,https://books.google.com/books?hl=en&lr=&id=r7G4BwAAQBAJ&oi=fnd&pg=PR5&dq=atomic+layer+deposition&ots=w80HqJ6T61&sig=_-cB9wFsfOFTQSScl9h3vhl9MkA
Understanding chemical and physical mechanisms in atomic layer deposition,https://pubs.aip.org/aip/jcp/article/152/4/040902/76427
Atomic layer deposition,https://www.academia.edu/download/101728903/F3-BP-2021-Vesela-Karolina-atomic_layer_deposition.pdf
