title,authors,year,abstract
A brief review of atomic layer deposition: from fundamentals to applications,"RW Johnson, A Hultqvist, SF Bent - Materials today, 2014",2014,"Atomic layer deposition (ALD) is a vapor phase technique capable of producing thin films of  a variety of materials. Based on sequential, self-limiting reactions, ALD offers exceptional …"
Atomic layer deposition: an overview,"SM George - Chemical reviews, 2010",2010,… Atomic layer deposition (ALD) has emerged as an important technique for depositing thin films  for a variety of applications. Semiconductor processing has been one of the main motivations …
Atomic layer deposition chemistry: recent developments and future challenges,"M Leskelä, M Ritala - Angewandte Chemie International …, 2003",2003,… These materials must be deposited as very thin films on structured surfaces… atomic layer  deposition (ALD) facilitates the control of film thickness at the atomic level and allows deposition …
Atomic layer deposition,"M Ritala, M Leskelä - Handbook of Thin Films, 2002",2002,"Publisher Summary This chapter deals with atomic layer deposition (ALD), which is a chemical  gas phase thin film deposition method based on alternate saturative surface reactions. As …"
Atomic layer deposition,"HCM Knoops, SE Potts, AA Bol… - Handbook of Crystal …, 2015",2015,"… Atomic layer deposition (ALD), also referred to historically as atomic layer epitaxy, is a  vapor-phase deposition technique for preparing ultra-thin films with precise growth control. ALD is …"
"New development of atomic layer deposition: processes, methods and applications","PO Oviroh, R Akbarzadeh, D Pan… - … and technology of …, 2019",2019,… Atomic layer deposition (ALD) is an ultra-thin film deposition technique that has found many  applications owing to its distinct abilities. They include uniform deposition of … film deposition …
Atomic layer deposition of transition metals,"BS Lim, A Rahtu, RG Gordon - Nature materials, 2003",2003,"… One method that is particularly suitable for making uniform conformal layers is atomic layer  deposition (ALD), also known as atomic layer epitaxy 2 . An ALD process deposits thin layers …"
The use of atomic layer deposition in advanced nanopatterning,"AJM Mackus, AA Bol, WMM Kessels - Nanoscale, 2014",2014,… Atomic layer deposition (ALD) is a method that allows for the deposition of thin films with  atomic level control of the thickness and an excellent conformality on 3-dimensional surfaces. In …
[HTML][HTML] Conformality in atomic layer deposition: Current status overview of analysis and modelling,"V Cremers, RL Puurunen, J Dendooven - Applied Physics Reviews, 2019",2019,"Atomic layer deposition (ALD) relies on alternated, self-limiting reactions between gaseous  reactants and an exposed solid surface to deposit highly conformal coatings with a thickness …"
Atomic layer deposition (ALD): from precursors to thin film structures,"M Leskelä, M Ritala - Thin solid films, 2002",2002,The principles of the atomic layer deposition (ALD) method are presented emphasizing the  importance of precursor and surface chemistry. With a proper adjustment of the experimental …
